First_Level_Chinese,First_Level_English,Second_Level_Chinese,Second_Level_English,Description_2nd,Third_Level_Chinese,Third_Level_English,Description_3rd,Fourth_Level_Chinese,Fourth_Level_English,Description_4th,Label
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人基本概况信息,Basic Personal Information,指个人基本情况数据，如个人姓名、性别、国籍、《海外账户纳税法案》 (FATCA)有关个人身份数据、民族、婚姻状况、证件类型、证件号码、证件生效日期、证件到期日期、家庭住址等。,M3_C2_BPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,单位管理层信息,Company Management Information,指企业经营管理层主要组成人员、实际控制人信息数据，如其姓名、证件类型、证件号码、联系人、联系方式等。,M3_C2_CMI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人财产信息,Personal Property Information,指个人的财产数据，如个人收入状况、拥有的不动产状况、拥有的车辆状况、VIN码、纳税额、公积金缴存金额、个人社保与医保存缴金额等。,M3_C2_PPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人联系信息,Personal Contact Information,指个人各类通信联系方式数据，如手机、固定电话、电子邮箱地址、微信号、通讯记录和内容等。,M3_C2_PCOI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人健康生理信息,Personal Health Physiological Information,指个人生病医治过程中产生的相关记录数据，如病症、住院志、医嘱单、检验报告、手术及麻醉记录、护理记录、用药记录、药物食物过敏信息、生育信息、以往病史、诊治情况、家族病史、现病史、传染病史等，以及与个人身体健康状况相关的其他信息，如吸烟史等。,M4__PHPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人地理位置信息,Personal Geographic Location Information,指描述能具体定位到个人的地理位置数据，如包含所在国家、城市、区域、街道、行踪轨迹、经纬度等维度信息下的常在位置和当前位置等。,M3_C2_PGLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人就学信息,Personal Education Information,指个人受教育情况的记录数据，如入学日期、毕业日期、就学的学校名称、就学的学校院系、学历、学位及学科信息等。,M2_C1_PEI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人职业信息,Personal Occupation Information,指个人就职的历史记录数据，如工作单位、工作开始日期、工作结束日期、职位、工作地点、收入情况（含收入值）等。,M2_C1_POI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人资质证书信息,Personal Qualification Certificate Information,指个人获得资质证书的记录数据，如资质证书的编号、颁发机构、生效日期、到期日期等。,M2_C1_PQCI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人党政信息,Personal Party And Government Information,指个人政治面貌相关数据，如党派所属、加入党派时间等。,M2_C1_PPAGI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人账户信息,PersonalAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结信息、介质信息和核算信息等。,个人账户基本信息,Basic Information OfIndividual Account,指账户的基本信息数据，如账户编号、账户类型、保证金账户标志、账户状态、开户机构编号、开户日期、销户日期、支付标记（作为支付账号等原始交易要素的替代值，用于完成特定场景支付交易）等。,M2_C1_BIOA
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人账户信息,PersonalAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结信息、介质信息和核算信息等。,个人账户金额信息,Individual Account Amount Information,指账户上的金额信息数据，如金额、余额、币种等。,M3_C2_IAAI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人账户信息,PersonalAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结信息、介质信息和核算信息等。,个人账户介质信息,Personal Account Media Information,指账户上依附的介质相关信息数据，如介质号码、卡种类等。,M3_C2_PAMI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人账户信息,PersonalAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结信息、介质信息和核算信息等。,个人账户冻结信息,Individual Account Freezing Information,指账户发生冻结时记录的相关信息数据，如冻结类型、冻结日期、冻结金额、状态等相关属性信息。,M2_C1_IAFI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人账户信息,PersonalAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结信息、介质信息和核算信息等。,个人账户特有账户信息,Special Account Information Of Individual Account,指政府机构或商业银行在中国人民银行所开立的账户信息。如国库单一账户、清算账户信息等。,M2_C1_SAIOIA
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,合同通用信息,GeneralContractInformation,指合同法以及商业银行法所规定的、各种特定业务通用的基本属性数据。,个人合同基本信息,Basic Information Of Individual Contract,指合同法以及商业银行法所规定的、各种特定业务通用的基本属性数据，如合同编号、合同名称、合同种类、合同状态、生效日期、到期日期、终止日期、期限、金额、币种、利率相关属性信息等。,M2_C1_BIOIC
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁基本信息,Basic Information Of Personal Loans And Leases,指贷款（租赁）业务的基本属性信息数据，如贷款（租赁）类型、贷款（租赁）用途、贷款（租赁）投向、贷款（租赁）金额、贷款（租赁）余额、保证金等。,M3_C2_BIOPLAL
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁授信信息,Personal Loan And Lease Credit Information,指贷款（租赁）业务涉及授信的相关数据信息，如授信种类、授信用途、授信币种、授信期限、开始日期、终止日期等。,M3_C2_PLALCI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁担保信息,Personal Loan And Lease Guarantee Information,指贷款（租赁）业务涉及担保的相关数据信息，如担保人、担保方式、担保种类、担保金额、担保比例等。,M3_C2_PLALGI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁放还款信息,Personal LoanAnd Lease Repayment Information,指贷款（租赁）业务放还款的相关数据信息，如放款日期、放款金额、还款方式、还款金额、还款日期等。,M3_C2_PLLRI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁逾期信息,Overdue Information Of Personal Loans And Leases,指贷款（租赁）业务涉及逾期的相关数据信息，如逾期日期、逾期金额、逾期天数、罚息利率、罚息金额、欠息金额等。,M3_C2_OIOPLAL
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁展期信息,Personal Loan And Lease Extension Information,指贷款（租赁）业务涉及展期的相关数据信息，如展期期限、展期利率、展期金额、展期次数、展期原因等。,M3_C2_PLALEI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁垫款信息,Personal Loan And Lease Advance Information,指贷款（租赁）业务涉及垫款的相关数据信息，如垫款种类、垫款金额、垫款日期、垫款利率等。,M2_C1_PLALAI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁违约信息,Personal Loan And Lease Default Information,指贷款（租赁）业务涉及违约的相关数据信息，如违约种类、违约日期、违约金支付比例等。,M3_C2_PLALDI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,贷款、租赁业务信息,LoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵盖的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,个人贷款、租赁催收信息,Personal Loan And Lease Collection Information,指贷款（租赁）业务涉及催收相关数据信息，如催收方式、催收周期等。,M2_C1_PLALCI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人身份鉴别信息,PersonalIdentificationInformation,指个人身份鉴别依赖的信息，该类信息一旦遭到未经授权的查看或未经授权的变更，会对个人金融信息主体的信息安全与财产安全造成严重危害。,个人身份传统鉴别信息,Personal Identity Traditional Authentication Information,指各类常规个人身份鉴别技术手段所依赖的数据，如银行卡磁道（或芯片等有效信息）、卡片验证码（CVN和CVN2）、卡片有效期、银行卡密码、支付密码、账户（包括但不限于支付账号、网络支付业务系统中个人金融信息主体登录用户、证券账户、保险账户）的登录密码、交易密码，账户查询密码、USBKEY.、U盾（网银、手机银行密保工具信息）等。,M4_C3_PITAI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人身份鉴别信息,PersonalIdentificationInformation,指个人身份鉴别依赖的信息，该类信息一旦遭到未经授权的查看或未经授权的变更，会对个人金融信息主体的信息安全与财产安全造成严重危害。,个人身份弱隐私生物特征信息,Personal Identity Weak Privacy Biometric Information,指用于身份鉴别的弱隐私个人生物特征样本数据与特征值数据，如人脸、声纹、步态、耳纹、眼纹、笔迹等。,M4_C3_PIWPBI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人身份鉴别信息,PersonalIdentificationInformation,指个人身份鉴别依赖的信息，该类信息一旦遭到未经授权的查看或未经授权的变更，会对个人金融信息主体的信息安全与财产安全造成严重危害。,个人身份强隐私生物特征信息,Strong Privacy Biometric Information Of PersonalIdentity,指用于身份鉴别的强隐私个人生物特征样本数据与特征值数据，如指纹、 虹膜等。,M4_C3_SPBIOP
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人身份鉴别信息,PersonalIdentificationInformation,指个人身份鉴别依赖的信息，该类信息一旦遭到未经授权的查看或未经授权的变更，会对个人金融信息主体的信息安全与财产安全造成严重危害。,个人身份鉴别辅助信息,Personal Identity Authentication Auxiliary Information,指辅助用于身份鉴别的数据，如动态口令、短信验证码、密码提示问题答案、动态声纹密码等。,M3_C2_PIAAI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人资讯信息,PersonalInformation,指用于补充个人基础信息的外部资讯数据。,个人信贷信息（第三方）,Personal Credit Information ,指个人信贷历史记录数据，如个人借款信息、个人还款信息、个人欠款信息等个人在信贷过程中产生的数据。,M3_C2_PCI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人资讯信息,PersonalInformation,指用于补充个人基础信息的外部资讯数据。,个人司法信息,Personal Judicial Information,指与个人相关司法信息记录数据，如失信被执行人信息、被执行人信息、开庭公告信息、立案公告信息、犯罪记录、违法违规记录等。,M3_C2_PJI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人关系信息,PersonalRelationshipInformation,指个人与关联方关系，具体说明双方关系的信息，如个人间关系信息、公私间关系信息等。,个人间关系信息,Personal Among Relationship Information,指用于描述个人与个人关联方关系的记录数据，如子女、父母、兄弟姐妹、配偶、社交关系等。,M3_C2_PARI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人关系信息,PersonalRelationshipInformation,指个人与关联方关系，具体说明双方关系的信息，如个人间关系信息、公私间关系信息等。,个人关系_公私间关系信息,Public Private Relationship Information,指用于描述个人与单位关联方关系的记录数据，如法定代表人、财务负责人、业务经办人、一般雇员、高管人员等。,M2_C1_PPRI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人行为信息,PersonalBehaviorInformation,指个人通过各种渠道和金融业机构发生业务关系时的行为数据。,个人行为信息,Personal Actual Behavior Information,指发生业务关系时的行为数据，如描述客户通过网上银行、手机银行、APP、柜面、客户经理、远程银行、邮件、短信、社交网络、辅助渠道等咨询、购买或使用金融业机构产品或服务时产生的如拜访时间（含登录时间、访问时间）、地点、网页浏览记录、APP浏览记录、个人驾驶习惯等。,M2_C1_PABI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人基础标签信息,Personal BasicLabel Information,指基于个人基本属性信息构建的用于刻画个人的标签数据，如依据教育、职业等构建的个人标签等。,M3_C2_PBI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人关系标签信息,Personal Relationship Label Information,指基于个人关联属性信息构建的用于刻画个人关系的标签数据，如基于家庭关系、职业关系、商业关系等构建的个人标签等。,M3_C2_PRLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人签约标签信息,Individual Signing Label Information,指基于个人持有的金融业机构产品信息构建的用于刻画个人签约情况的标签数据，如个人存款标签、个人贷款标签等。,M2_C1_ISLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人交易类标签信息,Personal Transaction Label Information,指基于个人交易信息构建的用于刻画个人交易情况的标签数据，如支付结算业务标签等。,M2_C1_PTLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人行为标签信息,Personal Behavior Label Information,指基于个人行为信息构建的用于刻画个人行为的标签数据，如内部行为标签、外部行为标签等。,M2_C1_PBLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人营销服务标签信息,Personal Marketing Service Tag Information,指基于个人营销服务属性信息构建的标签数据（从个人营销服务属性中提取加工，并单独构建，用于刻画针对个人的营销服务情况），如营销管理标签（活动权益、白名单等）、服务管理标签（客户敏感度、服务分类等）等。,M2_C1_PMSTI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人风险标签信息,Personal Risk Label Information,指基于个人风险信息构建的标签数据（从个人风险信息中提取加工，并单独构建，用于刻画个人风险），如高风险客户标签等。,M2_C1_PRLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人标签信息,PersonalLabelInformation,指根据各类个人信息构建的用于对个人客户分类分析的描述信息。,个人价值标签信息,Personal Value Tag Information,"指基于分析个人价值所形成的标签数据（从包括金融产品偏好、个人财产状况等信息中提取加工,并单独构建，用于刻画个人价值）,如综合评价标签、产品持有等级标签等。",M2_C1_PVTI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,客户服务信息,CustomerServiceInformation,指为满足需要，金融业机构在处理业务和提升客户体验等活动中记录的相关数据。,个人客户服务柜面服务信息,Personal Customer Service Counter Service Information,指柜面服务交互双方和服务过程数据，如服务内容、服务人员信息、服务评价等。,M2_C1_PCSCSI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,客户服务信息,CustomerServiceInformation,指为满足需要，金融业机构在处理业务和提升客户体验等活动中记录的相关数据。,个人客户服务电话服务信息,Personal Customer Service Telephone Service Information,指电话服务交互双方和服务过程数据，如客户服务内容、电话录音、服务人员信息、服务记录、服务评价等。,M2_C1_PCSTSI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,客户服务信息,CustomerServiceInformation,指为满足需要，金融业机构在处理业务和提升客户体验等活动中记录的相关数据。,个人客户服务网络服务信息,Personal Customer Service Network Service Information,指网络服务双方和服务过程数据，如设备类型（pc/移动设备）、客户端类型（浏览器/APP）、1P地址、服务内容、沟通文字或多媒体记录、服务人员信息、服务评价等。,M2_C1_PCSNSI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,音影像信息,AudioAndVideoInformation,指金融业机构在提供金融产品或服务的过程中产生的音影像资料。,个人客户及监管相关音影像信息,Audio And Video Information Related ToIndividual Customers And Supervision,指金融业机构在客户开户或办理各项业务等活动时所采集的及其处理后（如压缩、分段传输）的音影像资料，或监管资料所转化的影像资料数据，如证件扫描件、业务合同扫描件、签名影像、声纹录音等。,M3_C2_AAVIRTCAS
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位基本信息,BasicInformationOfTheCompany,指单位的自然属性数据，指单位本身具有的属性，而非在金融业机构管理过程中产生的属性信息。,单位基本概况,Company Basic Survey,指单位基础概况数据，如法定代表人姓名、企业名称、统一社会信用代码、经营许可证、经营范围、行业分类、经济类型、人员规模、注册资本、企业地址等。,M1_CBS
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位基本信息,BasicInformationOfTheCompany,指单位的自然属性数据，指单位本身具有的属性，而非在金融业机构管理过程中产生的属性信息。,股东信息,Shareholder Information,指主要出资人信息数据，如控股股东名称、注册资本、实收资本等。,M2_SI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位基本信息,BasicInformationOfTheCompany,指单位的自然属性数据，指单位本身具有的属性，而非在金融业机构管理过程中产生的属性信息。,单位联系信息,Company Contact Information,指单位的联系方式信息数据，如联系电话、通信地址等。,M2_CCI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位基本信息,BasicInformationOfTheCompany,指单位的自然属性数据，指单位本身具有的属性，而非在金融业机构管理过程中产生的属性信息。,单位财务信息,Company Financial Information,指单位财务信息数据，如营业收入、利润总额、资产状况、负债状况等。,M2_CFI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位账户信息,CompanyAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结 信息、介质信息和核算信息等。,单位账户基本信息,BasicInformation Of Company Account,指账户的基本信息数据，如账户编号、账户类型、保证金账户标志、账户状态、开户机构编号、开户日期、销户日期、支付标记（作为支村账号等原始交易要素的替代值，用于完成特定场景支付交易）等。,M2_BOCA
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位账户信息,CompanyAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结 信息、介质信息和核算信息等。,单位账户金额信息,Company Account Amount Information,指账户上的金额信息数据，如金额、余额、币种等。,M3_CAAI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位账户信息,CompanyAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结 信息、介质信息和核算信息等。,单位账户介质信息,Company Account Media Information,指账户上依附的介质相关信息数据，如介质号码、卡种类等。,M3_CAMI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位账户信息,CompanyAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结 信息、介质信息和核算信息等。,单位账户冻结信息,Company Account Freezing Information,指账户发生冻结时记录的相关信息数据，如冻结类型、冻结日期、冻结金额、状态等相关属性信息。,M2_CAFI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位账户信息,CompanyAccountInformation,指账户相关数据，如账户的基本信息、计息信息、冻结 信息、介质信息和核算信息等。,单位账户特有账户信息,Special Account Information Of Company Account,指政府机构或商业银行在中国人民银行所开立的账户信息。如国库单一账户、清算账户信息等。,M2_SAIOCA
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位合同通用信息,GeneralInformationOfUnitContract,指合同法以及商业银行法所规定的、各种特定业务通用的基本属性数据。,单位合同基本信息,Basic Information Of Company Contract,指合同法以及商业银行法所规定的、各种特定业务通用的基本属性数据，如合同编号、合同名称、合同种类、合同状态、生效日期、到期日期、终止日期、期限、金额、币种、利率相关属性信息等。,M2_BIOCC
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位贷款、租赁业务信息,CorporateLoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵益的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,单位贷款、租赁基本信息,Basic Information Of Company Loans And Leases,指贷款（租赁）业务的基本属性信息数据，如贷款（租赁）类型、贷款（租赁）用途、贷款（租赁）投向、贷款（租赁）金额、贷款（租赁）余额、保证金等。,M2_BIOCLAL
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位贷款、租赁业务信息,CorporateLoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵益的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,单位贷款、租赁授信信息,company loan and lease credit information,指贷款（租赁）业务涉及授信的相关数据信息，如授信种类、授信用途、授信币种、授信期限、开始日期、终止日期等。,M2_CLALCI
客户,Customer,单位,Company,指金融业机构提供业务服务团体对象（如政府机关、企 事业单位、社会团体、民间组织等）的数据。,单位贷款、租赁业务信息,CorporateLoanAndLeaseBusinessInformation,银行贷款、租赁业务所涵盖的相关属性信息，包括指贷款、租赁业务所涵益的相关属性信息，包括放款、还款、逾期、展期等相关业务属性信息。,单位贷款、租赁担保信息,company loan and lease guarantee information,指贷款（租赁）业务涉及担保的相关数据信息，如担保人、担保方式、担保种类、担保金额、担保比例等。,M2_CLALGI
